Timestamp, Scenario Name, Participant Number, Number of Targets, Number of Active Units, Number of In-Active Units, Score, Resource Pool,  , Blue Group Center X, Blue Group Center Y, Blue Group Proximity Min, Blue Group Proximity Max, Blue Group Search Radius, Blue Group Mode, Blue Group Number of Active Units, Blue Group Number of In-Active Units, Blue Group Unit Names,  , Target ID: T1 Priority, Target ID: T1 True Identity, Target ID: T1 Mark Status, Target ID: T1 Marked Identity, Target ID: T1 Score Generated, Target ID: T1 Location X, Target ID: T1 Location Y, Target ID: T1 Detection, Target ID: T1 Interception, Target ID: Data Sensor Priority, Target ID: Data Sensor True Identity, Target ID: Data Sensor Mark Status, Target ID: Data Sensor Marked Identity, Target ID: Data Sensor Score Generated, Target ID: Data Sensor Location X, Target ID: Data Sensor Location Y, Target ID: Data Sensor Detection, Target ID: Data Sensor Interception, Target ID: T3 Priority, Target ID: T3 True Identity, Target ID: T3 Mark Status, Target ID: T3 Marked Identity, Target ID: T3 Score Generated, Target ID: T3 Location X, Target ID: T3 Location Y, Target ID: T3 Detection, Target ID: T3 Interception, Target ID: T4 Priority, Target ID: T4 True Identity, Target ID: T4 Mark Status, Target ID: T4 Marked Identity, Target ID: T4 Score Generated, Target ID: T4 Location X, Target ID: T4 Location Y, Target ID: T4 Detection, Target ID: T4 Interception, Target ID: T5 Priority, Target ID: T5 True Identity, Target ID: T5 Mark Status, Target ID: T5 Marked Identity, Target ID: T5 Score Generated, Target ID: T5 Location X, Target ID: T5 Location Y, Target ID: T5 Detection, Target ID: T5 Interception, Target ID: T6 Priority, Target ID: T6 True Identity, Target ID: T6 Mark Status, Target ID: T6 Marked Identity, Target ID: T6 Score Generated, Target ID: T6 Location X, Target ID: T6 Location Y, Target ID: T6 Detection, Target ID: T6 Interception,  , Unit ID: 1 Group, Unit ID: 1 Location X, Unit ID: 1 Location Y, Unit ID: 1 Launch Status, Unit ID: 1 Detection Radius, Unit ID: 1 Target Detection Status, Unit ID: 1 Speed, Unit ID: 1 Price, Unit ID: 2 Group, Unit ID: 2 Location X, Unit ID: 2 Location Y, Unit ID: 2 Launch Status, Unit ID: 2 Detection Radius, Unit ID: 2 Target Detection Status, Unit ID: 2 Speed, Unit ID: 2 Price, Unit ID: 3 Group, Unit ID: 3 Location X, Unit ID: 3 Location Y, Unit ID: 3 Launch Status, Unit ID: 3 Detection Radius, Unit ID: 3 Target Detection Status, Unit ID: 3 Speed, Unit ID: 3 Price, Unit ID: 4 Group, Unit ID: 4 Location X, Unit ID: 4 Location Y, Unit ID: 4 Launch Status, Unit ID: 4 Detection Radius, Unit ID: 4 Target Detection Status, Unit ID: 4 Speed, Unit ID: 4 Price, Unit ID: 5 Group, Unit ID: 5 Location X, Unit ID: 5 Location Y, Unit ID: 5 Launch Status, Unit ID: 5 Detection Radius, Unit ID: 5 Target Detection Status, Unit ID: 5 Speed, Unit ID: 5 Price, Mouse Position X, Mouse Position Y, Launch Button, Briefing Button, Briefing Close Button, Status Button, Status Close Button, Overlay Button, View Target Button, Target Detection Submit Button,  Target Detection Detection Close Button, Red Unit to Blue Unit Switch Button, Blue Unit to Red Unit Switch Button, Blue Group Auto Mode Button, Blue Group Button, Blue Group Seek Button, Blue Group Track Button, Red Group Auto Mode, Red Group Button, Red Group Seek Button, Red Group Track Button
14:16:21, Demo6, 4, 6, 2, 8, 0,  $30,  , 461,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 397,397, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 656,176, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 756,512, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 482,388, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 185,161, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 598,298, Undetected, Unintercepted, , Blue, 446, 596, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 590, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 831, 774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,591, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 397,397, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 656,176, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 757,514, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 479,386, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 182,159, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 597,297, Undetected, Unintercepted, , Blue, 446, 596, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 587, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 804, 764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,591, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 397,397, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 656,176, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 757,514, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 479,386, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 182,159, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 596,296, Undetected, Unintercepted, , Blue, 446, 596, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 587, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1512, 488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 396,396, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 655,175, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 758,516, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 476,384, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 179,157, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 596,296, Undetected, Unintercepted, , Blue, 444, 598, ACTIVE, 20.0, N/A, 2,$5, Blue, 476, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 2030, 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 395,395, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 654,174, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 759,518, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 473,382, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 176,155, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 595,295, Undetected, Unintercepted, , Blue, 444, 598, ACTIVE, 20.0, N/A, 2,$5, Blue, 476, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1980, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 395,395, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 654,174, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 759,518, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 473,382, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 176,155, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 595,295, Undetected, Unintercepted, , Blue, 442, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 479, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1696, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 395,395, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 653,173, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 760,520, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 470,380, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 173,153, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 594,294, Undetected, Unintercepted, , Blue, 444, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1350, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 460,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 395,395, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 653,173, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 760,520, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 470,380, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 173,153, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 594,294, Undetected, Unintercepted, , Blue, 444, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1432, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:22, Demo6, 4, 6, 2, 8, 0,  $30,  , 459,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 394,394, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 653,173, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 761,522, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 467,378, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 170,151, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 593,293, Undetected, Unintercepted, , Blue, 444, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 587, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1549, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:23, Demo6, 4, 6, 2, 8, 0,  $30,  , 459,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 394,394, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 653,173, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 761,522, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 467,378, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 170,151, Undetected, Unintercepted, LOW,LOW, N/A, N/A,0.0, 593,293, Undetected, Unintercepted, , Blue, 444, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 587, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1618, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
