Timestamp, Scenario Name, Participant Number, Number of Targets, Number of Active Units, Number of In-Active Units, Score, Resource Pool,  , Red Group Center X, Red Group Center Y, Red Group Proximity Min, Red Group Proximity Max, Red Group Search Radius, Red Group Mode, Red Group Number of Active Units, Red Group Unit Names,  , Target ID: T1 Priority, Target ID: T1 True Identity, Target ID: T1 Mark Status, Target ID: T1 Marked Identity, Target ID: T1 Score Generated, Target ID: T1 Location X, Target ID: T1 Location Y, Target ID: T1 Detection, Target ID: T1 Interception, Target ID: T2 Priority, Target ID: T2 True Identity, Target ID: T2 Mark Status, Target ID: T2 Marked Identity, Target ID: T2 Score Generated, Target ID: T2 Location X, Target ID: T2 Location Y, Target ID: T2 Detection, Target ID: T2 Interception, Target ID: T3 Priority, Target ID: T3 True Identity, Target ID: T3 Mark Status, Target ID: T3 Marked Identity, Target ID: T3 Score Generated, Target ID: T3 Location X, Target ID: T3 Location Y, Target ID: T3 Detection, Target ID: T3 Interception, Target ID: T4 Priority, Target ID: T4 True Identity, Target ID: T4 Mark Status, Target ID: T4 Marked Identity, Target ID: T4 Score Generated, Target ID: T4 Location X, Target ID: T4 Location Y, Target ID: T4 Detection, Target ID: T4 Interception,  , Unit ID: R1 Group, Unit ID: R1 Location X, Unit ID: R1 Location Y, Unit ID: R1 Launch Status, Unit ID: R1 Detection Radius, Unit ID: R1 Target Detection Status, Unit ID: R1 Speed, Unit ID: R1 Price, Unit ID: R2 Group, Unit ID: R2 Location X, Unit ID: R2 Location Y, Unit ID: R2 Launch Status, Unit ID: R2 Detection Radius, Unit ID: R2 Target Detection Status, Unit ID: R2 Speed, Unit ID: R2 Price, Unit ID: R3 Group, Unit ID: R3 Location X, Unit ID: R3 Location Y, Unit ID: R3 Launch Status, Unit ID: R3 Detection Radius, Unit ID: R3 Target Detection Status, Unit ID: R3 Speed, Unit ID: R3 Price, Unit ID: R4 Group, Unit ID: R4 Location X, Unit ID: R4 Location Y, Unit ID: R4 Launch Status, Unit ID: R4 Detection Radius, Unit ID: R4 Target Detection Status, Unit ID: R4 Speed, Unit ID: R4 Price, Unit ID: R5 Group, Unit ID: R5 Location X, Unit ID: R5 Location Y, Unit ID: R5 Launch Status, Unit ID: R5 Detection Radius, Unit ID: R5 Target Detection Status, Unit ID: R5 Speed, Unit ID: R5 Price, Mouse Position X, Mouse Position Y, Launch Button, Briefing Button, Briefing Close Button, Status Button, Status Close Button, Overlay Button, View Target Button, Target Detection Submit Button,  Target Detection Detection Close Button, Red Unit to Blue Unit Switch Button, Blue Unit to Red Unit Switch Button, Blue Group Auto Mode Button, Blue Group Button, Blue Group Seek Button, Blue Group Track Button, Red Group Auto Mode, Red Group Button, Red Group Seek Button, Red Group Track Button
18:00:07, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 181,275, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 400,404, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 203,403, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 142,198, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 106,412, Undetected, Unintercepted, , Red, 181, 275, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1550, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:07, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 184,275, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,404, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 203,403, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 140,197, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 107,414, Undetected, Unintercepted, , Red, 184, 275, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1564, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:07, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 184,275, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,404, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 203,403, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 140,197, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 107,414, Undetected, Unintercepted, , Red, 184, 275, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1534, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 184,277, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,405, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 204,404, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 139,197, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 108,416, Undetected, Unintercepted, , Red, 184, 277, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1511, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 184,277, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,406, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 204,404, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 137,196, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 108,416, Undetected, Unintercepted, , Red, 184, 277, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1504, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 187,282, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,406, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 204,404, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 137,196, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 109,418, Undetected, Unintercepted, , Red, 187, 282, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1482, 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 187,282, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,407, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 205,405, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 136,196, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 110,420, Undetected, Unintercepted, , Red, 187, 282, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1426, 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 188,281, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,407, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 205,405, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 136,196, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 110,420, Undetected, Unintercepted, , Red, 188, 281, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1406, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 188,281, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,408, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 205,405, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 134,195, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 111,422, Undetected, Unintercepted, , Red, 188, 281, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1396, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18:00:08, Demo, 24, 4, 1, 9, 0,  $10,  ,  , 186,280, 28.00, 100.00, 100.00, Not Tracking, 1, R1 ,  , HIGH,TRUE, N/A, N/A,0.0, 399,408, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 205,405, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 134,195, Undetected, Unintercepted, LOW,HIGH, N/A, N/A,0.0, 111,422, Undetected, Unintercepted, , Red, 186, 280, ACTIVE, 125.0, T3, 2,$5, Red, 140, 260, INACTIVE, 50.0, N/A, 0,$5, Red, 200, 300, INACTIVE, 100.0, N/A, 0,$5, Red, 180, 280, INACTIVE, 50.0, N/A, 0,$5, Red, 190, 200, INACTIVE, 50.0, N/A, 0,$5, 1392, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
