Timestamp, Scenario Name, Participant Number, Number of Targets, Number of Active Units, Number of In-Active Units, Score, Resource Pool,  , Blue Group Center X, Blue Group Center Y, Blue Group Proximity Min, Blue Group Proximity Max, Blue Group Search Radius, Blue Group Mode, Blue Group Number of Active Units, Blue Group Number of In-Active Units, Blue Group Unit Names,  , Target ID: T1 Priority, Target ID: T1 True Identity, Target ID: T1 Mark Status, Target ID: T1 Marked Identity, Target ID: T1 Score Generated, Target ID: T1 Location X, Target ID: T1 Location Y, Target ID: T1 Detection, Target ID: T1 Interception, Target ID: Mars Rover Priority, Target ID: Mars Rover True Identity, Target ID: Mars Rover Mark Status, Target ID: Mars Rover Marked Identity, Target ID: Mars Rover Score Generated, Target ID: Mars Rover Location X, Target ID: Mars Rover Location Y, Target ID: Mars Rover Detection, Target ID: Mars Rover Interception,  , Unit ID: 1 Group, Unit ID: 1 Location X, Unit ID: 1 Location Y, Unit ID: 1 Launch Status, Unit ID: 1 Detection Radius, Unit ID: 1 Target Detection Status, Unit ID: 1 Speed, Unit ID: 1 Price, Unit ID: 2 Group, Unit ID: 2 Location X, Unit ID: 2 Location Y, Unit ID: 2 Launch Status, Unit ID: 2 Detection Radius, Unit ID: 2 Target Detection Status, Unit ID: 2 Speed, Unit ID: 2 Price, Unit ID: 3 Group, Unit ID: 3 Location X, Unit ID: 3 Location Y, Unit ID: 3 Launch Status, Unit ID: 3 Detection Radius, Unit ID: 3 Target Detection Status, Unit ID: 3 Speed, Unit ID: 3 Price, Unit ID: 4 Group, Unit ID: 4 Location X, Unit ID: 4 Location Y, Unit ID: 4 Launch Status, Unit ID: 4 Detection Radius, Unit ID: 4 Target Detection Status, Unit ID: 4 Speed, Unit ID: 4 Price, Unit ID: 5 Group, Unit ID: 5 Location X, Unit ID: 5 Location Y, Unit ID: 5 Launch Status, Unit ID: 5 Detection Radius, Unit ID: 5 Target Detection Status, Unit ID: 5 Speed, Unit ID: 5 Price, Mouse Position X, Mouse Position Y, Launch Button, Briefing Button, Briefing Close Button, Status Button, Status Close Button, Overlay Button, View Target Button, Target Detection Submit Button,  Target Detection Detection Close Button, Red Unit to Blue Unit Switch Button, Blue Unit to Red Unit Switch Button, Blue Group Auto Mode Button, Blue Group Button, Blue Group Seek Button, Blue Group Track Button, Red Group Auto Mode, Red Group Button, Red Group Seek Button, Red Group Track Button
11:53:47, Demo3, 1, 2, 2, 8, 0,  $20,  , 459,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 406,406, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 656,181, Undetected, Unintercepted, , Blue, 447, 599, ACTIVE, 20.0, N/A, 2,$5, Blue, 471, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:47, Demo3, 1, 2, 2, 8, 0,  $20,  , 458,592, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 406,406, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 656,181, Undetected, Unintercepted, , Blue, 445, 596, ACTIVE, 20.0, N/A, 2,$5, Blue, 471, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 458,592, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 408,408, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 655,181, Undetected, Unintercepted, , Blue, 445, 596, ACTIVE, 20.0, N/A, 2,$5, Blue, 471, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 457,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 408,408, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 655,181, Undetected, Unintercepted, , Blue, 443, 598, ACTIVE, 20.0, N/A, 2,$5, Blue, 472, 589, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 457,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 409,409, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 654,181, Undetected, Unintercepted, , Blue, 443, 598, ACTIVE, 20.0, N/A, 2,$5, Blue, 472, 589, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 458,595, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 409,409, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 654,181, Undetected, Unintercepted, , Blue, 441, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 589, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 458,595, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 410,410, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 653,181, Undetected, Unintercepted, , Blue, 439, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 589, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 688, 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 458,595, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 410,410, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 653,181, Undetected, Unintercepted, , Blue, 439, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 589, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 690, 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 457,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 410,410, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 652,181, Undetected, Unintercepted, , Blue, 439, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 698, 498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11:53:48, Demo3, 1, 2, 2, 8, 0,  $20,  , 457,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,TRUE, N/A, N/A,0.0, 410,410, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 652,182, Undetected, Unintercepted, , Blue, 439, 601, ACTIVE, 20.0, N/A, 2,$5, Blue, 475, 588, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$10, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$15, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$20, 698, 498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
